function,normalized,kind,callsites_count,files,in_chain_all,canonical_suite,has_test_suite,notes
PADInit,pad_init,fn,2,init.c;pad.c,y,tests/sdk/pad/pad_init,y,
PADRead,pad_read,fn,1,pad.c,n,tests/sdk/pad/pad_read,y,
PADReset,pad_reset,fn,1,pad.c,n,tests/sdk/pad/pad_reset,y,
PADSetSpec,pad_set_spec,fn,1,pad.c,y,tests/sdk/pad/pad_set_spec,y,
SISetSamplingRate,si_set_sampling_rate,fn,1,pad.c,y,tests/sdk/si/si_set_sampling_rate,y,
VIConfigure,vi_configure,fn,1,init.c,y,tests/sdk/vi/vi_configure,y,
VIConfigurePan,vi_configure_pan,fn,1,init.c,y,tests/sdk/vi/vi_configure_pan,y,
VIFlush,vi_flush,fn,2,init.c,y,tests/sdk/vi/vi_flush,y,
VIGetDTVStatus,vi_get_dtvstatus,fn,1,init.c,y,tests/sdk/vi/vi_get_dtv_status,y,
VIGetNextField,vi_get_next_field,fn,3,init.c;main.c;printfunc.c,y,tests/sdk/vi/vi_get_next_field,y,
VIGetRetraceCount,vi_get_retrace_count,fn,3,init.c;main.c,y,tests/sdk/vi/vi_get_retrace_count,y,
VIGetTvFormat,vi_get_tv_format,fn,1,init.c,y,tests/sdk/vi/vi_get_tv_format,y,
VIInit,vi_init,fn,1,init.c,y,tests/sdk/vi/vi_init,y,
VISetBlack,vi_set_black,fn,1,init.c,y,tests/sdk/vi/vi_set_black,y,
VISetNextFrameBuffer,vi_set_next_frame_buffer,fn,2,init.c,y,tests/sdk/vi/vi_set_next_frame_buffer,y,
VISetPostRetraceCallback,vi_set_post_retrace_callback,fn,1,pad.c,y,tests/sdk/vi/vi_set_post_retrace_callback,y,
VIWaitForRetrace,vi_wait_for_retrace,fn,8,init.c;main.c;pad.c,y,tests/sdk/vi/vi_wait_for_retrace,y,
